MPER Provider ID,MPER Provider Name
1,ALLEGHENY CHILDREN'S INITIATIVE
2,"ALLIANCE FOR INFANTS AND TODDLERS, INC., THE"
3,"CHILDREN'S INSTITUTE OF PITTSBURGH, THE"
4,"COMMUNITY OPTIONS, INC."
6,GOODWILL OF SOUTHWESTERN PENNSYLVANIA
7,JEWISH FAMILY AND CHILDREN'S SERVICES OF PITTSBURGH
9,NORTHERN AREA MULTI-SERVICE CENTER OF ALLEGHENY COUNTY
10,MERAKEY
11,"PEOPLES OAKLAND, INC."
12,"CENTER FOR HEARING AND DEAF SERVICES, INC."
13,PRESSLEY RIDGE
16,INVISION CUSTOMIZED SERVICES
18,"TURTLE CREEK VALLEY MH MR, INC"
19,"ALPHA HOUSE, INC."
20,"ELLEN O'BRIEN GAISER ADDICTION CENTER, INC."
22,WESLEY FAMILY SERVICES
25,"WHITE DEER RUN, LLC."
26,BOYS AND GIRLS CLUB OF WESTERN PENNSYLVANIA
27,"COMMUNITY EMPOWERMENT ASSOCIATION, INC."
29,FOCUS ON RENEWAL STO ROX NEIGHBORHOOD CENTER
34,ALLIES FOR HEALTH + WELLBEING
37,THREE RIVERS YOUTH
39,HOLY FAMILY INSTITUTE INC.
40,TRAVELERS AID SOCIETY OF PITTSBURGH
41,"EARLY LEARNING INSTITUTE, THE"
46,AUBERLE
80,CENTER FOR FAMILY EXCELLENCE
81,"BRADLEY CENTER, INC., THE"
83,AMERICAN RED CROSS
84,"SECOND CHANCE, INC., A"
86,PITTSBURGH ACTION AGAINST RAPE
107,MHY FAMILY SERVICES
122,HARBORCREEK YOUTH SERVICES
135,PITTSBURGH PUBLIC SCHOOLS
139,CATHOLIC YOUTH ASSOCIATION
144,"TRUSTPOINT TRANSLATIONS, LLC."
148,JEWISH ASSOCIATION ON AGING
150,METZ CULINARY MANAGEMENT
154,NEIGHBORHOOD LEGAL SERVICES ASSOCIATION
155,"NUTRITION, INC."
157,"ANOVA HOME HEALTHCARE SERVICES, INC."
163,"VINTAGE, INC."
171,"SISTERS PLACE, INC."
175,"ALLE-KISKI AREA HOPE CENTER, INC."
180,"OUTSIDE IN SCHOOL OF EXPERIENTIAL EDUCATION, INC."
205,"TRANSDEV SERVICES, INC."
208,ALLEGHENY COUNTY LAW DEPARTMENT
210,KANE REGIONAL CENTERS
213,CASA OF ALLEGHENY COUNTY
232,COMMUNITY CARE BEHAVIORAL HEALTH ORGANIZATION
234,DONNELLY BOLAND AND ASSOCIATES
236,VECTOR SECURITY INC.
237,GREAT LAKES BEHAVIORAL RESEARCH
243,"WOODSIDE PLACE OF OAKMONT, INC."
244,JEWISH RESIDENTIAL SERVICES(JRS)
246,"RENAISSANCE HOME CARE, INC."
257,OBERMAYER REBMANN MAXWELL AND HIPPEL LLP
263,AUTOMATED SECURITY ALERT INC
270,VALLEY CARE ASSOCIATION
271,RENEWAL  INC.
280,FIRST CHOICE ANSWERING SERVICE
286,"SELECTIVE SOFTWARE, INC."
298,RESOURCES FOR HUMAN DEVELOPMENT
300,ALLEGHENY INTERMEDIATE UNIT
311,"COUNCIL OF THREE RIVERS AMERICAN INDIAN CENTER, INC."
312,"CATHOLIC CHARITIES OF THE DIOCESE OF PITTSBURGH, INC."
317,"KIDSPEACE NATIONAL CENTERS, INC."
318,ADELPHOI VILLAGE
323,DIVERSIFIED HEALTH CARE
329,WOMEN'S CENTER AND SHELTER OF GREATER PITTSBURGH
340,YOUNG MEN'S CHRISTIAN ASSOCIATION OF PITTSBURGH
344,MANCHESTER YOUTH DEVELOPMENT CENTER
345,PLEA
346,"TRANSITIONAL SERVICES, INC."
347,"CORNELL ABRAXAS GROUP, LLC."
348,"HIGHLAND HOUSE, INC., THE"
350,"URBAN LEAGUE OF GREATER PITTSBURGH, INC."
351,"AHEDD, INC."
353,"EVERY CHILD, INC."
354,GEORGE JUNIOR REPUBLIC IN PENNSYLVANIA
355,"BAIR FOUNDATION OF PENNSYLVANIA, THE"
357,"SUMMIT SCHOOL, INC."
364,EFCC ACQUISITION CORPORATION
365,YOUNG MEN & WOMEN HEBREW ASSOC & IRENE KAUFMANN CTRS AKA JEWISH COMMUNITY CENTER
371,BETHANY CHRISTIAN SERVICES OF WESTERN PENNSYLVANIA
373,PROVIDENCE CONNECTIONS
382,COMMUNITY HUMAN SERVICES CORPORATION
383,DIVERSIFIED CARE MANAGEMENT
388,INTERIM HEALTHCARE
396,"VALUED RELATIONSHIPS, INC."
399,GREATER VALLEY COMMUNITY SERVICES INC.
407,UPMC CHILDREN'S HOSPITAL OF PITTSBURGH
416,ACCESSIBLE HOME AUTOMATIONS
422,ALLEGHENY COUNCIL TO IMPROVE OUR NEIGHBORHOODS HOUSING INC.
430,"KINGSLEY ASSOCIATION, THE"
435,LIFELINE SYSTEMS COMPANY
439,LIFE'S WORK OF WESTERN PENNSYLVANIA
440,"LUTHERAN SERVICE SOCIETY OF WESTERN PENNSYLVANIA, THE"
446,"MAPLE UNIFIED STUDENT ACADEMY, INC."
448,BETHLEHEM HAVEN
452,NAMI KEYSTONE PENNSYLVANIA
455,OPTUM RX PBM OF MARYLAND INC.
459,"CENTER THAT C.A.R.E.S., THE"
460,"CHARTIERS MH MR CENTER, INC."
462,"CITIZEN CARE, INC."
464,LANDMARK HOME HEALTH CARE
466,COMMUNITY SPECIALISTS CORPORATION
470,DELOITTE CONSULTING
472,DEVEREUX FOUNDATION
475,"EASTERN AREA ADULT SERVICES, INC."
480,"OUTREACH TEEN AND FAMILY SERVICES, INC."
485,GREATER PITTSBURGH COMMUNITY FOOD BANK
494,HOSANNA HOUSE INC.
495,HUMAN SERVICES ADMINISTRATIVE ORGANIZATION
497,YOUR INDEPENDENT MOBILITY LLC
500,"PERSEUS HOUSE, INC."
505,"NATIONAL MENTOR HEALTHCARE, LLC"
507,"PRIMARY CARE HEALTH SERVICES, INC."
508,"PASSAGES TO RECOVERY, INC."
511,"MED-LINE SUPPORT, INC."
512,WARD HOME INC.
518,SCHENLEY HEIGHTS COMMUNITY DEVELOPMENT PROGRAM
521,BLIND AND VISION REHABILITATION SERVICES OF PITTSBURGH
522,PLUM SENIOR COMMUNITY CENTER
526,PARTNER4WORK
529,BLUEPRINTS
530,AUTISM SOCIETY OF PITTSBURGH INC.
534,"WOMANSPACE EAST, INC."
535,CENTER FOR VICTIMS
545,VETERANS LEADERSHIP PROGRAM OF WESTERN PENNSYLVANIA
548,FIFTH JUDICIAL DISTRICT OF PENNSYLVANIA
556,HILLTOP COMMUNITY CHILDREN'S CENTER
562,"EAST END COOPERATIVE MINISTRY, INC."
567,GWEN'S GIRLS INC.
583,UPMC PRESBYTERIAN SHADYSIDE
588,CITY OF PITTSBURGH
591,ALLEGHENY HEALTHCHOICES INC.
613,SOUTHWOOD PSYCHIATRIC HOSPITAL
617,PITTSBURGH OPERA
625,UNITED WAY OF SOUTHWESTERN PENNSYLVANIA
626,UPMC MCKEESPORT
628,HUMAN SERVICES CENTER CORP.
629,SOUTHWESTERN PENNSYLVANIA PARTNERSHIP FOR AGING
631,EASTER SEALS WESTERN AND CENTRAL PENNSYLVANIA
634,"LIFESPAN, INC."
637,"ADOPTION CONNECTION,. PA"
640,FAMILYLINKS
646,MAINSTAY LIFE SERVICES
649,ACHIEVA
651,RANKIN CHRISTIAN CENTER
654,JEWISH HEALTHCARE FOUNDATION
655,VALLEY MEDICAL FACILITIES INC.
658,"COMMUNITY LIVING AND SUPPORT SERVICES, INC."
659,FAMILY RESOURCES
661,ARSENAL FAMILY AND CHILDREN'S CENTER
663,"THREE RIVERS ADOPTION COUNCIL, INC."
665,ALLEGHENY FORENSIC ASSOCIATES LLP
668,BETHESDA CHILDREN'S HOME
669,"KIDSVOICE PENNSYLVANIA, INC."
670,"SMALL SEEDS DEVELOPMENT, INC."
672,MILESTONE CENTERS INC
673,YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF GREATER PITTSBURGH
675,GATEWAY REHABILITATION CENTER
677,"PRN HEALTH SERVICE, INC."
679,"ELDER OPTIONS, INC."
680,MERCY LIFE CENTER CORPORATION
682,NATIONAL COUNCIL OF JEWISH WOMEN
685,"ALLEGHENY VALLEY ASSOCIATION OF CHURCHES, INC."
686,"MON YOUGH COMMUNITY SERVICES, INC."
687,ALLEGHENY COUNTY BAR FOUNDATION JUVENILE COURT PROJECT
688,"SOJOURNER HOUSE, INC."
689,"SALVATION ARMY, THE"
690,"PERSAD CENTER, INC."
691,PENNSYLVANIA ORGANIZATION FOR WOMEN IN EARLY RECOVERY
694,"YOUTH ENRICHMENT SERVICES, INC."
695,"FAYETTE RESOURCES, INC."
700,"PASSAVANT MEMORIAL HOMES, INC."
708,AMERICAN BUYERS DISCOUNT MATTRESS
712,"STEP BY STEP, INC."
715,PENN HILLS MUNICIPALITY
727,"TOUCHING FAMILIES, INC."
730,"RESIDENTIAL RESOURCES, INC."
732,"MACEDONIA FAMILY AND COMMUNITY ENRICHMENT CENTER, INC."
