Upmc,Upmc ,Pittsburgh,208295721
National Philanthropic Trust,National Philanthropic Trust,Jenkintown,237825575
Trustees Of The University Of Pennsylvania,Trustees Of The University Of Pennsylvania,Philadelphia,231352685
Highmark Health,Highmark Health ,Pittsburgh,821406555
University Of Pittsburgh,University Of Pittsburgh,Pittsburgh,250965591
The Childrens Hospital Of Philadelphia,The Childrens Hospital Of Philadelphia,Philadelphia,231352166
Vanguard Charitable Endowment Program,Vanguard Charitable Endowment Program,Malvern,232888152
Lehigh Valley Hospital,Lehigh Valley Hospital,Allentown,231689692
Miltons S Hershey Medical Center,Miltons S Hershey Medical Center,Hershey,251854772
Thomas Jefferson University Hospital,Thomas Jefferson University Hospital ,Philadelphia,232829095
Temple University Hospital Inc,Temple University Hospital Inc,Philadelphia,232825878
Carnegie Mellon University,Carnegie Mellon University,Pittsburgh,250969449
Geisinger Clinic,Geisinger Clinic,Danville,236291113
York Hospital,York Hospital,York,231352222
Temple University Of The Commonwealth System Of Higher Educ,Temple University Of The Commonwealth System Of Higher Educ,Philadelphia,231365971
Geisinger Medical Center,Geisinger Medical Center,Danville,240795959
Albert Einstein Healthcare Network Group Letter Ruling,Albert Einstein Healthcare Network Group Letter Ruling,Philadelphia,465338502
Main Line Hospitals Inc,Main Line Hospitals Inc,Newtown Sq,231352160
Milton Hershey School & School Trust,Milton Hershey School & School Trust,Hershey,231353340
St Lukes Hospital,St Lukes Hospital,Bethlehem,231352213
Lancaster General Hospital,Lancaster General Hospital,Lancaster,231365353
Upmc Pinnacle Hospitals,Upmc Pinnacle Hospitals ,Pittsburgh,251778644
Drexel University,Drexel University,Philadelphia,231352630
Thomas Jefferson University,Thomas Jefferson University,Philadelphia,231352651
Reading Hospital,Reading Hospital,West Reading,231352204
Community Behavorial Health,Community Behavorial Health ,Philadelphia,232766661
Presbyterian Medical Center Of The University Of Pennsylvania Health,Presbyterian Medical Center Of The University Of Pennsylvania Health ,Philadelphia,232810852
Villanova University,Villanova University,Villanova,231352688
Abington Memorial Hospital,Abington Memorial Hospital,Abington,231352152
Pennsylvania Hospital Of The Univ Of Pennsylvania Health System,Pennsylvania Hospital Of The Univ Of Pennsylvania Health System,Philadelphia,311538725
Wellspan Medical Group,Wellspan Medical Group,York,232730785
Geisinger System Services,Geisinger System Services ,Danville,232164794
Lehigh University,Lehigh University,Bethlehem,240795445
St Lukes Physician Group Inc,St Lukes Physician Group Inc,Bethlehem,232380812
Lehigh Valley Physician Group,Lehigh Valley Physician Group ,Allentown,232700908
Upmc,Upmc,Pittsburgh,251423657
Tower Health,Tower Health,Reading,232201344
Jefferson Health Northeast,Jefferson Health Northeast,Philadelphia,230596940
Excela Health,Excela Health ,Greensburg,900759236
Highmark Health,Highmark Health,Pittsburgh,453674900
Mount Nittany Medical Center,Mount Nittany Medical Center,State College,240795682
Penn State Health,Penn State Health,Hershey,473769205
Devereux Foundation,Devereux Foundation,Villanova,231390618
Robert Packer Hospital,Robert Packer Hospital,Sayre,240795463
Dubois Regional Medical Center,Dubois Regional Medical Center,Du Bois,251490707
Wellspan Health,Wellspan Health,York,222517863
Chambersburg Hospital,Chambersburg Hospital ,York,230465970
Jefferson University Physicians,Jefferson University Physicians ,Philadelphia,232809585
Duquesne University Of The Holy Spirit,Duquesne University Of The Holy Spirit,Pittsburgh,251035663
Acts Retirement Life Communities Inc,Acts Retirement Life Communities Inc,Ft Washington,231900132
St Clair Health Corporation,St Clair Health Corporation ,Pittsburgh,611663540
Guthrie Medical Group Pc,Guthrie Medical Group Pc,Sayre,250815795
Pinnacle Health Medical Services,Pinnacle Health Medical Services ,Pittsburgh,251709054
Chester County Hospital,Chester County Hospital,West Chester,230469150
Community Medical Center,Community Medical Center,Danville,240862246
St Mary Medical Center,St Mary Medical Center,Langhorn,231913910
Upmc,Upmc ,Pittsburg,240795508
Swarthmore College,Swarthmore College,Swarthmore,231352683
Heritage Valley Health System,Heritage Valley Health System,Sewickley,251801532
Main Line Healthcare,Main Line Healthcare,Newtown Sq,232359401
Commonwealth Charter Academy Charter School,Commonwealth Charter Academy Charter School,Harrisburg,743068519
St Lukes Hospital Anderson Campus,St Lukes Hospital Anderson Campus,Allentown,454394739
Doylestown Hospital,Doylestown Hospital ,Doylestown,231352174
Southwest Behavioral Health Management Inc,Southwest Behavioral Health Management Inc,New Castle,251810162
Capital Area Behavioral Health Collaborative Inc,Capital Area Behavioral Health Collaborative Inc,Harrisburg,251843566
Upmc Western Maryland Corporation,Upmc Western Maryland Corporation,Pittsburgh,520591531
Temple Faculty Practice Plan Inc,Temple Faculty Practice Plan Inc,Philadelphia,831002191
Gettysburg Hospital,Gettysburg Hospital,York,231352220
Public Health Management Corporation,Public Health Management Corporation,Philadelphia,237221025
Butler Healthcare Providers,Butler Healthcare Providers,Butler,250965274
Pew Charitable Trusts,Pew Charitable Trusts,Philadelphia,562307147
Caring People Alliance,Caring People Alliance,Philadelphia,231352104
St Joseph Regional Health Network,St Joseph Regional Health Network,Hershey,231352211
Childrens Health Care Associates Inc,Childrens Health Care Associates Inc ,Philadelphia,222785804
Holy Redeemer Health System,Holy Redeemer Health System ,Meadowbrook,231534300
Saint Josephs University,Saint Josephs University,Philadelphia,231352674
Penn State Health Holy Spirit Medical Center,Penn State Health Holy Spirit Medical Center,Hershey,231512747
Pew Memorial Trust,Pew Memorial Trust,Philadelphia,236234669
Stc Healthcare Partners Llc,Stc Healthcare Partners Llc ,Reading,843467958
Pocono Medical Center,Pocono Medical Center ,Allentown,240795623
Community Services For Children Inc,Community Services For Children Inc,Allentown,232204725
Geisinger Health,Geisinger Health,Danville,231995911
Ephrata Community Hospital,Ephrata Community Hospital,York,231370484
Resources For Human Development Inc,Resources For Human Development Inc,Philadelphia,231727133
The Good Samaritan Hospital Of Lebanon Pennsylvania,The Good Samaritan Hospital Of Lebanon Pennsylvania,York,230794160
The Childrens Hospital Of Philadelphia Foundation,The Childrens Hospital Of Philadelphia Foundation,Philadelphia,232237932
Bucknell University,Bucknell University,Lewisburg,240772407
Bryn Mawr College,Bryn Mawr College,Bryn Mawr,231352621
Northeast Pennsylvania Center For Independent Living,Northeast Pennsylvania Center For Independent Living,Scranton,232525528
Clinical Care Associates Of The University Of Pennsylvania Health,Clinical Care Associates Of The University Of Pennsylvania Health,Philadelphia,232729852
The American Oncologic Hospital,The American Oncologic Hospital ,Philadelphia,231352156
Evangelical Community Hospital,Evangelical Community Hospital,Lewisburg,240795411
Lafayette College,Lafayette College,Easton,240795686
Phi Group Return,Phi Group Return ,Dillsburg,412273452
Diakon Lutheran Social Ministries,Diakon Lutheran Social Ministries,Middletown,231857015
Washington Hospital,Washington Hospital,Washington,250965600
University Of Scranton,University Of Scranton,Scranton,240795495
Widener University,Widener University ,Chester,231386178
Philadelphia Housing Development Corporation,Philadelphia Housing Development Corporation,Philadelphia,231664406
Dickinson College,Dickinson College,Carlisle,231365954
Meadville Medical Center,Meadville Medical Center,Meadville,251512436
Grand View Hospital,Grand View Hospital,Sellersville,231352181
Northeast Behavioral Health Care Consortium,Northeast Behavioral Health Care Consortium,Moosic,900214791
Sun Coast Nursing Centers Inc,Sun Coast Nursing Centers Inc,Bala Cynwyd,200091844
Mercy Catholic Medical Center Of Southeastern Pa,Mercy Catholic Medical Center Of Southeastern Pa,Newtown Sq,231352191
Riddle Memorial Hospital,Riddle Memorial Hospital,Newtown Sq,231529076
Tower Health Medical Group,Tower Health Medical Group,West Reading,232266054
Gettysburg College,Gettysburg College,Gettysburg,231352641
St Lukes Hospital Monroe Campus,St Lukes Hospital Monroe Campus,Allentown,465143606
Masonic Villages Of The Grand Lodge Of Pennsylvania,Masonic Villages Of The Grand Lodge Of Pennsylvania,Elizabethtown,230846955
Lake Erie College Of Osteopathic Medicine Inc,Lake Erie College Of Osteopathic Medicine Inc,Erie,251698677
Upmc Hanover,Upmc Hanover ,Pittsburgh,231360851
Main Line Services,Main Line Services,Newtown Sq,232359402
National Board Of Medical Examiners,National Board Of Medical Examiners,Philadelphia,231352238
Temple University Health System Inc,Temple University Health System Inc,Philadelphia,232825881
Pennsylvania Cyber Charter School,Pennsylvania Cyber Charter School,Midland,233037992
Franklin & Marshall College,Franklin & Marshall College,Lancaster,231352635
Upmc Pinnacle,Upmc Pinnacle,Pittsburgh,251778658
Geisinger Lewistown Hospital,Geisinger Lewistown Hospital,Danville,231352187
Institute For Transfusion Medicine,Institute For Transfusion Medicine ,Pittsburgh,900593925
Indiana Regional Medical Center,Indiana Regional Medical Center,Indiana,250965404
Upmc Memorial,Upmc Memorial ,Pittsburgh,820912090
Muhlenberg College,Muhlenberg College,Allentown,231352664
Philadelphia College Of Osteopathic Medicine,Philadelphia College Of Osteopathic Medicine,Philadelphia,231355135
Corporation Of Haverford College,Corporation Of Haverford College,Haverford,236002304
St Lukes Warren Hospital Inc,St Lukes Warren Hospital Inc,Bethlehem,221494454
Keystone Service Systems Inc,Keystone Service Systems Inc,Harrisburg,231915567
Nazareth Hospital,Nazareth Hospital ,Newtown Sq,232794121
Susquehanna University,Susquehanna University,Selinsgrove,231353385
Dietrich Foundation,Dietrich Foundation ,Pittsburgh,364711746
Gannon University,Gannon University,Erie,250496976
Upmc Carlisle,Upmc Carlisle ,Pittsburgh,820880337
Merakey Allegheny Valley School,Merakey Allegheny Valley School,Lafayette Hl,251094911
Mercyhurst University,Mercyhurst University,Erie,250965430
Merakey Pennsylvania,Merakey Pennsylvania,Lafayette Hl,232799679
Northeastern Pennsylvania Health Corporation,Northeastern Pennsylvania Health Corporation ,Allentown,232421970
Wilkes University,Wilkes University,Wilkes Barre,240795506
Lancaster General Medical Group,Lancaster General Medical Group,East Petersburg,232777286
Summit Physician Services,Summit Physician Services,York,251716306
Arcadia University,Arcadia University,Glenside,231352620
Messiah University,Messiah University,Mechanicsburg,231352661
Pittsburgh Foundation,Pittsburgh Foundation,Pittsburgh,250965466
Lehigh Valley Hospital   Schuykill,Lehigh Valley Hospital   Schuykill,Allentown,231352202
Philadelphia University,Philadelphia University,Philadelphia,231352294
Community Connections For Children Inc,Community Connections For Children Inc,York,222842846
Allegheny Council To Improve Our Neighborhoods Housing Incorporated,Allegheny Council To Improve Our Neighborhoods Housing Incorporated ,Pittsburgh,250965469
Urban Affairs Coalition,Urban Affairs Coalition,Philadelphia,237046393
Uniontown Hospital,Uniontown Hospital,Uniontown,250965588
